Tan Siew Ling|0136543543|000302013432|P101|F|2023-07-04|N
Jimmy Teh|01243567634|960721094587|P102|M|2023-07-05|S
Lim Ai Lian|01427873456|030923073454|P103|F|2023-07-07|G
Ooi Lian Wei|0112324354|860605081329|P104|M|2023-08-01|S
Ho Li Hua|0171234323|950324109232|P105|F|2023-08-04|G
Lee Wai Xian|01110109726|040713070305|P367|M|2023-09-24|S
Tan Lily|0123453675|901208123424|P963|F|2023-09-24|S
Lam Jing Yu|0113889832|020927080493|P703|M|2023-09-24|N
Poh Ying En|01844567436|990123040566|P450|F|2023-09-24|G
Ho Xuan Qi|01110293443|000930050334|P310|F|2023-09-24|S
Jason Tan|0112323313|041221063253|P964|M|2025-12-01|G
L|0111010932|010203040506|P965|F|2025-12-01|N
